start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name,project_name,user_id,user_email
1762473600,1762560000,2025-11-07T00:00:00+00:00,2025-11-08T00:00:00+00:00,,,,,,,,,
1762560000,1762646400,2025-11-08T00:00:00+00:00,2025-11-09T00:00:00+00:00,,,,,,,,,
1762646400,1762732800,2025-11-09T00:00:00+00:00,2025-11-10T00:00:00+00:00,,,,,,,,,
1762732800,1762819200,2025-11-10T00:00:00+00:00,2025-11-11T00:00:00+00:00,,,,,,,,,
1762819200,1762905600,2025-11-11T00:00:00+00:00,2025-11-12T00:00:00+00:00,,,,,,,,,
1762905600,1762992000,2025-11-12T00:00:00+00:00,2025-11-13T00:00:00+00:00,,,,,,,,,
1762992000,1763078400,2025-11-13T00:00:00+00:00,2025-11-14T00:00:00+00:00,,,,,,,,,
1763078400,1763164800,2025-11-14T00:00:00+00:00,2025-11-15T00:00:00+00:00,,,,,,,,,
1763164800,1763251200,2025-11-15T00:00:00+00:00,2025-11-16T00:00:00+00:00,0.07590285,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,Default Project,,
1763251200,1763337600,2025-11-16T00:00:00+00:00,2025-11-17T00:00:00+00:00,0.0309911,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,Default Project,,
1763337600,1763424000,2025-11-17T00:00:00+00:00,2025-11-18T00:00:00+00:00,,,,,,,,,
1763424000,1763510400,2025-11-18T00:00:00+00:00,2025-11-19T00:00:00+00:00,,,,,,,,,
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,,,,,,,,,
1763596800,1763683200,2025-11-20T00:00:00+00:00,2025-11-21T00:00:00+00:00,,,,,,,,,
1763683200,1763769600,2025-11-21T00:00:00+00:00,2025-11-22T00:00:00+00:00,,,,,,,,,
1763769600,1763856000,2025-11-22T00:00:00+00:00,2025-11-23T00:00:00+00:00,,,,,,,,,
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,,,,,,,,,
1763942400,1764028800,2025-11-24T00:00:00+00:00,2025-11-25T00:00:00+00:00,,,,,,,,,
1764028800,1764115200,2025-11-25T00:00:00+00:00,2025-11-26T00:00:00+00:00,,,,,,,,,
1764115200,1764201600,2025-11-26T00:00:00+00:00,2025-11-27T00:00:00+00:00,,,,,,,,,
1764201600,1764288000,2025-11-27T00:00:00+00:00,2025-11-28T00:00:00+00:00,,,,,,,,,
1764288000,1764374400,2025-11-28T00:00:00+00:00,2025-11-29T00:00:00+00:00,,,,,,,,,
1764374400,1764460800,2025-11-29T00:00:00+00:00,2025-11-30T00:00:00+00:00,,,,,,,,,
1764460800,1764547200,2025-11-30T00:00:00+00:00,2025-12-01T00:00:00+00:00,7.677704309999999,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,Default Project,,
1764547200,1764633600,2025-12-01T00:00:00+00:00,2025-12-02T00:00:00+00:00,134.02446524999996,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,Default Project,,
1764633600,1764720000,2025-12-02T00:00:00+00:00,2025-12-03T00:00:00+00:00,,,,,,,,,
1764720000,1764806400,2025-12-03T00:00:00+00:00,2025-12-04T00:00:00+00:00,,,,,,,,,
1764806400,1764892800,2025-12-04T00:00:00+00:00,2025-12-05T00:00:00+00:00,0.7421171,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,Default Project,,
1764892800,1764979200,2025-12-05T00:00:00,2025-12-06T00:00:00,42.60161160000000000000000000,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,desclasificados,,
1764979200,1765065600,2025-12-06T00:00:00+00:00,2025-12-07T00:00:00+00:00,,,,,,,,,
1765065600,1765152000,2025-12-07T00:00:00,2025-12-08T00:00:00,51.49779765000000000000000000,usd,,proj_dwc9qeH7jFaefKSkm9d8q0uC,org-AUTHsprD3xGAQ5smmp47cvFP,Acme,desclasificados,,
